LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,NOMINATED_DATE,OR_ASSESSMENT_END_DATE,LODGEMENT_DATETIME,OCCUPANCY_LEVEL,UPRN,UPRN_SOURCE
54709208912011092213253701059961,NEW SCIENCE BLOCK,The Netherhall School,Queen Ediths Way,CB1 8NN,916481960005,103.0,,,E,41.0,28.0,0.0,Schools And Seasonal Public Buildings,2011-08-10,E07000008,E14000934,Cambridgeshire County,2011-09-22,Schools And Seasonal Public Buildings,Natural Gas,,,,1250,114.0,161.0,60.0,40.0,0.0,0.0,,,,,,,No,,,4.0,Heating and Natural Ventilation,S3;,"NEW SCIENCE BLOCK, The Netherhall School, Queen Ediths Way",Cambridge,South Cambridgeshire,CAMBRIDGE,2011-05-01,2011-04-30,2011-09-22 13:25:37,Standard Occupancy,200004202889.0,Address Matched
55004020242011092911201429600210,,Abbey Meadows Primary & The Fields Childrens Centre,Galfrid Road,CB5 8ND,525952620000,97.0,,,D,135.0,164.0,0.0,Schools And Seasonal Public Buildings,2011-09-21,E07000008,E14000617,Cambridgeshire County,2011-09-29,Schools And Seasonal Public Buildings,Natural Gas,,,,5824,145.0,160.0,42.0,40.0,0.0,0.0,,,,,,,No,,,4.0,Heating and Natural Ventilation,S3;,"Abbey Meadows Primary & The Fields Childrens Centre, Galfrid Road",Cambridge,Cambridge,CAMBRIDGE,2011-09-01,2011-07-25,2011-09-29 11:20:14,Standard Occupancy,10023617312.0,Address Matched
55385712032012032617410929000795,,St. Albans Primary School,Lensfield Road,CB2 1EN,151977940000,64.0,,,C,32.0,23.0,0.0,Schools And Seasonal Public Buildings,2012-02-02,E07000008,E14000617,Cambridgeshire County,2012-03-26,Schools And Seasonal Public Buildings,Natural Gas,,,,1599,73.0,159.0,36.0,40.0,0.0,0.0,,,,,,,Yes,,1.0,5.0,Heating and Natural Ventilation,S3;,"St. Albans Primary School, Lensfield Road",Cambridge,Cambridge,CAMBRIDGE,2011-09-30,2011-09-30,2012-03-26 17:41:09,Standard Occupancy,200004215707.0,Address Matched
46211000242013012815225538700290,,Milton Road Primary School,Ascham Road,CB4 2BD,324930730000,91.0,,,D,58.0,63.0,0.0,Schools And Seasonal Public Buildings,2013-01-28,E07000008,E14000617,Cambridgeshire County,2013-01-28,Schools And Seasonal Public Buildings,Natural Gas,,,,2546,128.0,157.0,41.0,40.0,0.0,0.0,,,,,,,No,,,4.0,Heating and Natural Ventilation,S3;,"Milton Road Primary School, Ascham Road",Cambridge,Cambridge,CAMBRIDGE,2013-01-28,2012-10-31,2013-01-28 15:22:55,Standard Occupancy,10002568223.0,Address Matched
75916082052013020814352507019308,"ASHBURTON, FIRWOOD, HEADMASTERS HOUSE, KEYNES & LEYSPRING",St. Faiths School,Trumpington Road,CB2 8AG,383527500001,108.0,,,E,176.0,86.0,6.0,Long Term Residential; Schools And Seasonal Public Buildings,2013-02-08,E07000008,E14000617,Cambridgeshire County,2013-02-08,Schools And Seasonal Public Buildings,Natural Gas,,,Solar PV Panels: 11485 kWh Electricity,4031,110.0,191.0,80.0,43.0,0.0,3.5,,,,,,,Yes,,2.0,1.0,Heating and Natural Ventilation,S7; S3;,"ASHBURTON, FIRWOOD, HEADMASTERS HOUSE, KEYNES & LEYSPRING, St. Faiths School, Trumpington Road",Cambridge,Cambridge,CAMBRIDGE,2013-02-01,2012-12-31,2013-02-08 14:35:25,Standard Occupancy,,
46226867032013032419094846000899,,Newnham Croft Primary School,Chedworth Street,CB3 9JF,698681570000,70.0,,,C,3.0,45.0,0.0,Schools And Seasonal Public Buildings,2013-02-04,E07000008,E14000617,Cambridgeshire County,2013-03-24,Schools And Seasonal Public Buildings,Natural Gas,,,,1282,182.0,165.0,5.0,40.0,0.0,0.0,,,,,,,No,,,4.0,Heating and Natural Ventilation,S3;,"Newnham Croft Primary School, Chedworth Street",Cambridge,Cambridge,CAMBRIDGE,2013-01-31,2013-01-30,2013-03-24 19:09:48,Standard Occupancy,10002565446.0,Address Matched
75566950242013032715443117210270,MAIN BUILDING,Queen Emma Primary School,Gunhild Way,CB1 8QY,426605210001,51.0,,,C,97.0,5.0,0.0,Schools And Seasonal Public Buildings,2013-03-23,E07000008,E14000934,Cambridgeshire County,2013-03-27,Schools And Seasonal Public Buildings,Grid Supplied Electricity,,,,3721,7.0,162.0,47.0,40.0,0.0,0.0,,,,,,,Yes,,1.0,4.0,Heating and Natural Ventilation,S3;,"MAIN BUILDING, Queen Emma Primary School, Gunhild Way",Cambridge,South Cambridgeshire,CAMBRIDGE,2013-01-31,2012-12-31,2013-03-27 15:44:31,Standard Occupancy,,
65370727032013070416041241000493,,Park Street Primary School,Lower Park Street,CB5 8AR,234146800000,102.0,,,E,14.0,19.0,0.0,Schools And Seasonal Public Buildings,2013-07-04,E07000008,E14000617,Cambridgeshire County,2013-07-04,Schools And Seasonal Public Buildings,Natural Gas,,,,607,163.0,166.0,43.0,40.0,0.0,0.0,,,,,,,No,,,4.0,Heating and Natural Ventilation,S3;,"Park Street Primary School, Lower Park Street",Cambridge,Cambridge,CAMBRIDGE,2013-05-27,2013-02-28,2013-07-04 16:04:12,Standard Occupancy,10002565455.0,Address Matched
80748427032013071715243571000196,,Homerton Nursery School,Holbrook Road,CB1 7ST,262110600000,102.0,,,E,27.0,16.0,0.0,Schools And Seasonal Public Buildings,2013-07-03,E07000008,E14000934,Cambridgeshire County,2013-07-17,Schools And Seasonal Public Buildings,Natural Gas,,Not applicable,Not applicable,726,121.0,181.0,68.0,45.0,0.0,0.0,,,,,,,No,,,5.0,Heating and Natural Ventilation,S3;,"Homerton Nursery School, Holbrook Road",Cambridge,South Cambridgeshire,CAMBRIDGE,2013-04-02,2013-04-02,2013-07-17 15:24:35,Extended Occupancy,,
46281478012013092709394100009821,,Ridgefield School,Radegund Road,CB1 3RL,816080520000,86.0,,,D,36.0,23.0,16.0,Schools And Seasonal Public Buildings; Restaurant,2013-07-03,E07000008,E14000617,Cambridgeshire County,2013-09-27,Schools And Seasonal Public Buildings,Natural Gas,,Not applicable,"Type1: Solar Panels, 29176 kWh; Electricity",1264,96.0,167.0,53.0,42.0,0.0,30.8,,,,,,,No,,,5.0,Heating and Natural Ventilation,S3; H1;,"Ridgefield School, Radegund Road",Cambridge,Cambridge,CAMBRIDGE,2013-01-09,2012-12-02,2013-09-27 09:39:41,Standard Occupancy,10002565379.0,Address Matched
